"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
"Venezuela, Rep. Bol.","299","Trade Tax Revenue in Percent of GDP","RTT_RM_GDP","Source Coverage and Accounting Basis","GFS01 | Central | Cash","GFS01 | Central | Cash","GFS01 | Central | Cash","GFS01 | Central | Cash","GFS01 | Central | Cash","GFS01 | Central | Cash","GFS01 | Central | Cash","GFS01 | Central | Cash",,,,,,,,,"OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General",,,,,
"Bolivia","218","Trade Tax Revenue in Percent of GDP","RTT_RM_GDP","Value","0.940871059894562","0.883853614330292","1.06568515300751","0.999633312225342","1.09095478057861","1.08515334129334","1.00674951076508","1.13342022895813","1.18896269798279","0.998210489749908","1.00079929828644","0.864653587341309","1.06822800636292","0.915250182151794","0.964724242687225","1.0474967956543","1.0126770734787","1.08309984207153","1.16675055027008","0.961433410644531","1.120365858078","1.33429825305939","1.32783830165863","1.48934090137482","1.49712550640106","1.54861533641815","1.23612713813782","1.23404109477997","1.14399635791779","1.19465756416321",,,
"Bolivia","218","Trade Tax Revenue in Percent of GDP","RTT_RM_GDP","Source Coverage and Accounting Basis","GFS01 | Central | Cash","GFS01 | Central | Cash","GFS01 | Central | Cash","GFS01 | Central | Cash","GFS01 | Central | Cash","GFS01 | Central | Cash","GFS01 | Central | Cash","GFS01 | Central | Cash","GFS01 | Central | Cash","GFS01 | Central | Cash","GFS01 | General | Cash","GFS01 | General | Cash","GFS01 | General | Accrual","GFS01 | General | Accrual","GFS01 | General | Accrual","GFS01 | General | Accrual","GFS01 | General | Accrual","GFS01 | General | Accrual","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General",,,
"Brazil","223","Trade Tax Revenue in Percent of GDP","RTT_RM_GDP","Value","0.487469762563705","0.495445340871811","0.417714804410934","0.463634818792343","0.5239537358284","0.693209409713745","0.495926588773727","0.540138602256775","0.65287572145462","0.727794885635376","0.709713101387024","0.690655648708344","0.53534072637558","0.473969221115112","0.470046013593674","0.418593168258667","0.416507929563522","0.478711694478989","0.578031599521637","0.509634912014008","0.542558491230011","0.609019696712494","0.646531283855438","0.69356781244278","0.636327147483826","0.649945795536041","0.501610577106476","0.491234719753265","0.581143260002136","0.581026315689087","0.612269043922424",,
"Brazil","223","Trade Tax Revenue in Percent of GDP","RTT_RM_GDP","Source Coverage and Accounting Basis","GFS01 | Central | Cash","GFS01 | Central | Cash","GFS01 | Central | Cash","GFS01 | Central | Cash","GFS01 | Central | Cash","OECD | General","OECD | General","GFS01 | Central | Cash","GFS01 | Central | Cash","GFS01 | Central | Cash","GFS01 | Central | Cash","GFS01 | Central | Cash","GFS01 | Central | Cash","GFS01 | Central | Cash","GFS01 | Central | Cash","GFS01 | Central | Cash","GFS01 | General | Cash","GFS01 | General | Cash","GFS01 | General | Cash","GFS01 | General | Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash",,
"Chile","228","Trade Tax Revenue in Percent of GDP","RTT_RM_GDP","Value","2.11434674263","2.00592827796936","1.93729734420776","2.01929831504822","1.76287364959717","1.81848978996277","1.91670072078705","1.72852122783661","1.63205277919769","1.40011262893677","1.30595993995667","1.13216924667358","0.90873920917511","0.60687130689621","0.429870396852493","0.415570110082626","0.38264998793602","0.331208795309067","0.327385812997818","0.168572902679443","0.239740192890167","0.247387707233429","0.241975694894791","0.220047399401665","0.22734859585762","0.215283095836639","0.182184606790543","0.178668692708015","0.182132095098495","0.168982103466988",,,
"Chile","228","Trade Tax Revenue in Percent of GDP","RTT_RM_GDP","Source Coverage and Accounting Basis","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General",,,
"Ecuador","248","Trade Tax Revenue in Percent of GDP","RTT_RM_GDP","Value","1.63734531402588","1.41990232467651","1.1329710483551","1.18705189228058","1.30544054508209","1.30749905109406","1.00897216796875","1.56633329391479","2.17968606948853","1.66553854942322","1.20607721805573","1.44859945774078","1.44923043251038","1.1781599521637","1.2398374080658","1.31674551963806","1.32086884975433","1.33034992218018","1.32874608039856","1.77814149856567","2.19109630584717","2.07786989212036","2.75315833091736","2.70875310897827","2.57240676879883","3.14199471473694","2.59894871711731","2.45989990234375","2.57241106033325","2.38114142417908",,,
"Ecuador","248","Trade Tax Revenue in Percent of GDP","RTT_RM_GDP","Source Coverage and Accounting Basis","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General",,,
"El Salvador","253","Trade Tax Revenue in Percent of GDP","RTT_RM_GDP","Value",,,,,,,,,,,,"1.21147680282593","1.22234332561493","1.3598712682724","1.27069163322449","1.23077964782715","1.2481335401535","1.19799613952637","0.994057297706604","1.0481983423233","1.06136631965637","1.06094574928284","1.00532352924347","1.05588793754578","0.895655274391174","0.828600287437439","0.853447079658508","0.843828082084656","0.87391459941864","0.86293238401413",,,
