"","country","year","log_GDP_pc","sum_ntl_built","sum_ntl","sum_gap","sum_np_str","rev_forgone","rev_forgone_built","rev_forgone_str"
"44","GTM",2011,7.99468398165815,4104378348.92153,4829007472.79638,1697268223.81769,5801646572.73922,26.006689001788,29.2549399991516,29.2549399991516
"45","GTM",2012,8.00617513667864,4174696484.69173,4812608542.38242,1574367184.94026,5749063669.63199,24.6496503533796,27.3847582043049,27.3847582043049
"46","GTM",2013,8.02491211095148,3247161462.73809,3491242967.92197,1223708290.00012,4470869752.73821,25.9537845262777,27.3706987158517,27.3706987158517
"47","GTM",2014,8.05110518160311,3136672905.86698,3332576358.3225,1520770605.90988,4657443511.77686,31.3344711828244,32.6524755923382,32.6524755923382
"48","GTM",2015,8.07429710688029,3753169940.8511,3904474187.22272,1578279325.34694,5331449266.19804,28.7862535079975,29.6031950515482,29.6031950515482
"49","GTM",2016,8.08414214258019,4880477686.19294,5048497982.24582,1505739613.16188,6386217299.35481,22.9735280609432,23.5779576951445,23.5779576951445
"50","GTM",2017,8.09765186335027,5160088817.88926,5442287478.87296,1724408520.05833,6884497337.94759,24.0614157530259,25.0477040720654,25.0477040720654
"51","GTM",2018,8.11329110050776,4987684980.52879,5239098341.68983,1559563690.90429,6547248671.43308,22.9392736898442,23.8201383385508,23.8201383385508
"52","GTM",2019,8.135426065858,5755960159.78872,5994427390.35005,1803308713.41216,7559268873.20088,23.1260546576091,23.8555969322014,23.8555969322014
"53","SEN",2010,7.15479148962135,545691152.9,573437248,118907314892.6,119453006045.5,99.5200588900502,99.5431750351329,99.5431750351329
"54","SEN",2011,7.14160326196677,3194385270.8,4723730556,134587229113.45,137781614384.25,96.6092182788718,97.6815591216028,97.6815591216028
"55","SEN",2012,7.16365423775626,26577915537.6,27960935032,111933384696.9,138511300234.5,80.0128160412908,80.8117348601858,80.8117348601858
"56","SEN",2013,7.16349382818209,101646232421.57,121286454165.19,28660110745.18,130306343166.75,19.1135493916193,21.9944095188861,21.9944095188861
"57","SEN",2014,7.19946678316925,73947550360.03,97705320467.02,39512395199.57,113459945559.6,28.7954037185525,34.8249728172259,34.8249728172259
"58","SEN",2015,7.23310823008059,110468705284.68,133990298998.15,55620090663.12,166088795947.8,29.3338834240479,33.4881653790788,33.4881653790788
"59","SEN",2016,7.26665703331302,55296218220.4,57877859331.2,127052618403.5,182348836623.9,68.702909309394,69.6755848602149,69.6755848602149
"60","SEN",2017,7.31011014742299,140765926278.73,175774407932.97,80067102797.87,220833029076.6,31.2955870879395,36.2568512204292,36.2568512204292
"61","SEN",2018,7.34413406580717,175727595372.86,340178581910.48,85607500925.44,261335096298.3,20.1057536580944,32.7577513078165,32.7577513078165
"62","ALB",2015,8.41723430197699,23690765632.6,27099004309,198583622.15,23889349254.75,0.727476810958051,0.831264259366608,0.831264259366608
"63","ALB",2016,8.45144360400563,25914763601.6,29808891717,282796795.8,26197560397.4,0.939783740216863,1.07947759833418,1.07947759833418
"64","ALB",2017,8.489680281867,25317960193.2,29450977324,1044669420.1,26362629613.3,3.42563457947358,3.96269050327575,3.96269050327575
"65","ALB",2018,8.53205366990704,28871029555.25,34159868919,552281466.75,29423311022,1.59103213316546,1.87702011625087,1.87702011625087
"66","ALB",2019,8.55821283012748,26078443051.35,28802916281,409427205.85,26487870257.2,1.40155549668346,1.54571583851181,1.54571583851181
